0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13:03:18,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:20,0,Hz,0,W,1000,mbar,400,mbar
13:03:20,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:22,0,Hz,0,W,1000,mbar,340,mbar
13:03:22,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:24,0,Hz,0,W,1000,mbar,260,mbar
13:03:24,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:26,0,Hz,0,W,1000,mbar,200,mbar
13:03:26,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:28,0,Hz,0,W,1000,mbar,170,mbar
13:03:28,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:30,0,Hz,0,W,470,mbar,140,mbar
13:03:30,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:32,0,Hz,0,W,300,mbar,110,mbar
13:03:32,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:34,0,Hz,0,W,190,mbar,92,mbar
13:03:34,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:36,0,Hz,0,W,150,mbar,72,mbar
13:03:36,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:38,0,Hz,0,W,100,mbar,65,mbar
13:03:38,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:40,0,Hz,0,W,91,mbar,57,mbar
13:03:40,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:42,0,Hz,0,W,72,mbar,48,mbar
13:03:42,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:44,0,Hz,0,W,61,mbar,41,mbar
13:03:44,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:46,0,Hz,0,W,51,mbar,37,mbar
13:03:46,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:48,0,Hz,0,W,40,mbar,34,mbar
13:03:48,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:50,0,Hz,0,W,36,mbar,31,mbar
13:03:50,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:52,0,Hz,0,W,33,mbar,27,mbar
13:03:52,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:54,0,Hz,0,W,29,mbar,22,mbar
13:03:54,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:56,0,Hz,0,W,26,mbar,19,mbar
