,Rtk,18.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tk ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.18,28,21,1701,19.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.28,32,7,1927,19.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.38,35,57,2157,19.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.48,39,35,2375,19.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, R,мин,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.08,0,0,0,18.08,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.18,1,41,81,18.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.28,2,1,182,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.38,4,0,301,18.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.48,6,15,436,18.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.58,8,49,590,18.58,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.68,11,29,750,18.68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.78,14,20,921,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.88,17,23,1104,18.88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18.98,20,31,1292,18.98,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.08,23,51,1492,19.08,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.18,,,1700,19.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.28,,,1925,19.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.38,,,2156,19.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.48,,,2366,19.48,,,,,,,,,,,,,,,,,,,,,,,,,,
